username,location,text,tweet_date,hashtags_extracted
Zoomer Magazine,CANADA 🇨🇦,"UPDATE: the word of the day is 'pause' — as the rollout and administration of first doses of the #AstraZeneca vaccine leave many unanswered questions. 😷 #Covid19
https://t.co/faDadnfvAz",2021-05-12 22:06:01,"astrazeneca,covid19"
"Merrilee Fullerton, MPP",Kanata-Carleton,"Over 50% of adults aged 18 and over in Ontario have received their first dose of the #COVID19 vaccine!  https://t.co/c5nfE1L7Bd
 
Learn more about eligibility and where to get vaccinated at: https://t.co/AOn6EHDgVM. https://t.co/QFik6QkcrJ",2021-05-12 22:05:06,covid19
Ash Paul,United Kingdom,Shedding: An antivax trope resurrected for COVID-19 vaccines https://t.co/334KSeq4MF via @gorskon,2021-05-12 22:01:12,
City of Calgary,"Calgary, Alberta","It’s okay to have questions about the COVID-19 vaccine. We have information available in multiple languages that you can share with your family, friends and community members. 

Download our resources here: https://t.co/fyxWAFGhiG",2021-05-12 22:01:00,
dda604,p: 604.273.9778,Well done B.C.! Over 50% of the eligible population has received at least the first dose of a COVID vaccine. We can beat this together and get our lives back! #NormalSummerGoals #COVID19 https://t.co/03c7wHHbIo https://t.co/LXBXbB893c,2021-05-12 22:00:42,"normalsummergoals,covid19"
Francisco Taveira,Portugal,"United Nations Secretary-General Antonio Guterres has called for the need to double the capacity of #COVID19 vaccine production and for a fairer redistribution of the shots in the developing world, which faces new waves of the coronavirus. https://t.co/N1P9wr8LVR",2021-05-12 22:00:41,covid19
SkepticalRaptor,"Los Angeles, CA","Important article @doritmi – #COVID19 #vaccine parental consent – do teens need it before getting @pfizer vaccine? Answer – it depends, of course. https://t.co/ABLrIJqB95 #VaccinesWork #StopCovid https://t.co/6Czq0U2hjp",2021-05-12 22:00:06,"covid19,vaccine,vaccineswork,stopcovid"
Christine Hogarth,Etobicoke,"Over 50% of all adults in @TOPublicHealth have received at least one dose of a #COVID19 vaccine! 

Learn more about eligibility and book your vaccine appointment through https://t.co/S3ek0fs7du or by calling 1-833-943-3900 https://t.co/Y4jyE6Ypq0",2021-05-12 22:00:03,covid19
Alberta's NDP,Alberta,"All approved vaccines will help prevent serious illness but take two to three weeks after the shot to give protection. Two doses are needed for the best protection against COVID-19.

https://t.co/75UVfLJxHr

#ableg #alberta #stampede #sleevesup https://t.co/8a7jpI7R09",2021-05-12 22:00:01,"ableg,alberta,stampede,sleevesup"
hschwan@wickedlocal.com,"Framingham, MA","Some #Framingham parents ready to #vaccinate their children against #COVID19 after @CDCgov advisory panel recommends @pfizer vaccine for those 12-15 years old. @metrowestdaily @Framingham_MA @framinghamps 
https://t.co/vJmDcGjlQy",2021-05-12 21:58:47,"framingham,vaccinate,covid19"
CRS News,Baltimore,"Great article why #COVID19 testing remains a crucial method to trace the spread of the virus and stop it from spreading, even with vaccine distribution increasing across the globe. https://t.co/ZciR1DbHG3 via @GlblCtzn",2021-05-12 21:56:01,covid19
KimInSC,"South Carolina, USA","@scgovernorpress @henrymcmaster History will not be kind to you: Today, DHEC announced 359 new cases of COVID-19 (182 confirmed, 177 probable), 7 new deaths (4 confirmed, 3 probable), and a percent positive of 4.7%. See today's updated COVID-19 and vaccine data at https://t.co/L2aRxYMUlP….",2021-05-12 21:55:13,
Senator Mazie Hirono,Hawaii,"Hawaii is doing well in our fight against #COVID19, but we're not pau yet.

With walk-up availability expanding, it's easier than ever to get the free COVID-19 vaccine. Take the step to protect our community at https://t.co/Jq25UL9aBu. https://t.co/VGCcVq2QKG",2021-05-12 21:52:11,covid19
UT Southwestern News,"Dallas, Texas","""When we care about people, we put ourselves in a position to be protectors, and I think the #vaccine is a surefire way to facilitate that role,"" said Richie Butler, Pastor of St. Luke ""Community"" United Methodist Church. Learn about #COVID19 #vaccines: https://t.co/fwXFbx2Huk https://t.co/An97tj6Idz",2021-05-12 21:51:31,"vaccine,covid19,vaccines"
Sarah Hyatt,,Getting your #COVID19 vaccine in #Northumberland or Kawartha? Here’s what you should know https://t.co/VBXcgR3E5l via @@north_news,2021-05-12 21:49:15,"covid19,northumberland"
Frank Underbush,,"First shot, done #covid #covid19 #covidbc #coronavirus #vaccinationdone✔️ #vaccine #pfizer #moderna #astrazeneca #johnsonandjohnson #fraservalley #fraserhealth #immunization #bc #britishcolumbia https://t.co/8nH8qxHmv7",2021-05-12 21:49:00,"covid,covid19,covidbc,coronavirus,vaccinationdone,vaccine,pfizer,moderna,astrazeneca,johnsonandjohnson,fraservalley,fraserhealth,immunization,bc,britishcolumbia"
"Hank ""fully vaccinated"" Stalica",California,"Day #492 of the #pandemic :  Kids 12-15 now approved for #pfizer #vaccine: 
https://t.co/PihUE6IsmX

#VaccinesWork  #Corona   #COVIDIOTS #doyourpart #GetVaccinated #doyourduty #letsgetbacktonormal  #covid19 #vaccinated",2021-05-12 21:47:23,"pandemic,pfizer,vaccine,vaccineswork,corona,covidiots,doyourpart,getvaccinated,doyourduty,letsgetbacktonormal,covid19,vaccinated"
Cy Husain 🌹,"West Hollywood, CA 90069","AMA on ACIP recommendation for use of #BioNTech #COVID19 #vaccine in teens (ages 12 to 15) adolescents 12 years of age and up are at risk of severe illness from COVID-19 and can contribute to transmission of COVID-19 to others.⚕️ 
https://t.co/oz8ganMChU (via @AmerMedicalAssn)",2021-05-12 21:45:43,"biontech,covid19,vaccine"
CBS New York,New York City,"A CDC advisory panel has recommended the use of Pfizer‘s #COVID19 vaccine in children ages 12 to 15. Once the director signs it, parents will likely be able to get their children vaccinated as early as Thursday. @GainerTV reports. https://t.co/0MjayCSfM7 #coronavirus",2021-05-12 21:45:28,"covid19,coronavirus"
Elliott Wave Helgi,Switzerland,"#Astrazeneca is a major supplier of #COVIDvaccine. Will all this engagement promote the stock price to the new highs?  Read: 
https://t.co/zNQe47Zc8H #Elliottwave #stocks #bourse #ftse100 #ftse $AZN #AZN #covid19",2021-05-12 21:44:12,"astrazeneca,covidvaccine,elliottwave,stocks,bourse,ftse100,ftse,azn,covid19"
Kristy Smith,,It’s my birthday today 🥳 and the best gift is that my fiancé registered as a primary caregiver of someone in the highest risk category ( me &gt;&gt;🤰🏼) and got his first shot of the covid vaccine. Beyond grateful and thankful #COVID19,2021-05-12 21:43:52,covid19
The Homestretch CBC,"ÜT: 51.054086,-114.083504","Alberta is reporting 1,799 new cases of COVID-19 on Wednesday from 17,534 tests (10.3%) over the last 24 hours. There are now 737 people in hospital (+32) and 169 in the ICU (+6). Everyone 12+ can now book an appointment for #COVID19 vaccine. @CMOH_Alberta @jkenney @cbcDougDirks",2021-05-12 21:40:13,covid19
"C. Gemerle, PhD",EU,"Why isn't Brussels negotiating for the #valneva #vaccine @vonderleyen?

#COVID19
#covid
#coronavirus
#pandemic
#EU
#Brussels

https://t.co/fxE4v7addi",2021-05-12 21:39:59,"valneva,vaccine,covid19,covid,coronavirus,pandemic,eu,brussels"
City A.M.,"London, England","In your 30s? You can book a Covid jab from tomorrow

NHS England has announced that people in their 30s will be able to book an appointment for a Covid jab from tomorrow https://t.co/ViqcggztOd  #CovidVaccine #Vaccine #Covid19 #Covid #Coronavirus",2021-05-12 21:39:26,"covidvaccine,vaccine,covid19,covid,coronavirus"
DKBmed,"New York, NY","✨ LATEST COVID-19 NEWS AND UPDATES ✨ 

In this webinar, we discuss the data behind the recent EUA for vaccine use, masks and social distancing policies for those vaccinated, variants in the U.S., and global trends in COVID-19 cases. 

➡️ Here's the link: https://t.co/mubBRPCAg9 https://t.co/gckz2iMFKj",2021-05-12 21:38:41,
Effie Triantafilopoulos,Oakville North-Burlington,Great News! Over 50% of all adults in @RegionofHalton have received at least one dose of a #COVID19 vaccine! Learn more about eligibility and book your vaccine appointment through https://t.co/nnvxTljA7X or by calling 311. #OakvilleNorth-#BurlON https://t.co/fLVn9MQRpn,2021-05-12 21:38:21,"covid19,oakvillenorth,burlon"
City and County of Denver,"Denver, CO","WE CAN DO THIS. More than 50% of Denver residents have received at least 1 vaccine dose. With expanded access to #COVID19 vaccines, let’s show the country how it’s done. Let's get 60% of ALL Denver residents vaccinated by June 1, and 70% by July 1! ✊🏽✊🏽
https://t.co/yE6bMJhLs4 https://t.co/7I7pKdViYb",2021-05-12 21:38:17,covid19
CIDRAP,"Minneapolis, MN","Now w/ the correct photo!

CDC advisers green-light COVID vaccine in young teens

A trial of the Pfizer #COVID19 vaccine in 2,260 young teens found only 1 serious side effect, a fever higher than 104°F

https://t.co/4MbnMulVgf https://t.co/EkktMCAwdp",2021-05-12 21:37:36,covid19
Jennifer Kilkenny 🤓,"Las Vegas, NV","CDC + American Academy of Pediatrics support Pfizer COVID-19 vaccine in 12-15-year-olds.

My entire family will be fully vaccinated this summer. I'm so relieved &amp; hopeful. #COVID19Vaccination 

#COVID19

@CDCgov @AmerAcadPeds 

 https://t.co/mzniI5a98M via @medscape",2021-05-12 21:34:26,"covid19vaccination,covid19"
William Salson,,@MO_Independent @lauraolson mRNA vaccines were not developed to treat Covid19.   Moderna's version failed phased clinical trials against other viruses and was discontinued until Covid19 appeared.  No mRNA vaccine has EVER been officially approved for use on humans prior to Covid.,2021-05-12 21:34:10,
Northumberland News,"Northumberland County, ON",Getting your #COVID19 vaccine in #Northumberland or #Kawartha? Here’s what you should know https://t.co/e5YsNSJNOq via @@north_news,2021-05-12 21:34:03,"covid19,northumberland,kawartha"
OTV,"Bhubaneswar, India","Re-Up: Odisha In An Immediate Need Of 25 Lakh Doses Of Vaccine: Naba Das To Union Health Min

#COVID19 #COVID19Vaccine #Odisha 
https://t.co/M8zFrmiSQx",2021-05-12 21:33:00,"covid19,covid19vaccine,odisha"
"Menaka Pai, MSc MD FRCPC","Hamilton, Ontario","@drawolak @BCCFP @DoctorsOfBC Thank you @drawolak ❤️ Family physicians are essential to help educate about vaccines, act as a sounding board for symptoms, and direct care appropriately. If you're in ON, @COVIDSciOntario has an outpatient guide tailored to HCPs in the community: https://t.co/EYhAjh9Veb",2021-05-12 21:32:39,
JohnElligott9999,,"""Two Canadian provinces stop offering #AstraZeneca's COVID vaccine""

#JustSayNo
#COVID19 
#HearThisWell 

 https://t.co/t8TvBzv8XX",2021-05-12 21:32:00,"astrazeneca,justsayno,covid19,hearthiswell"
SkepticalRaptor,"Los Angeles, CA","Another thoughtful article from @doritmi – #COVID19 #vaccine parental consent – do teens need it before getting @pfizer vaccine? Answer – it depends, of course. https://t.co/ABLrIJqB95 #VaccinesWork #StopCovid https://t.co/aAEK3ZYFWQ",2021-05-12 21:30:21,"covid19,vaccine,vaccineswork,stopcovid"
Global Nexus for Pandemics and Biological Threats,"Hamilton, Ontario, Canada","#CanadasGlobalNexus researcher @zchagla, @prital_ , and other health experts answer questions about #COVID19 , #AstraZenaca , and why delaying a vaccine to wait for one that may seem more desirable is risky and could cost lives. @TorontoStar https://t.co/ChZGSJMJWW",2021-05-12 21:30:18,"canadasglobalnexus,covid19,astrazenaca"
K-12 Dive,"Washington, DC",The @US_FDA on Monday authorized the use of Pfizer's #COVID19 vaccine for 12- to 15-year-olds. What might that mean for #K12 schools? https://t.co/ijpXb6D0NJ,2021-05-12 21:30:16,"covid19,k12"
MPR News,Minnesota,"""If they give the OK that I can get the vaccine, hell yeah, I’m getting it,"" says Tatyana Sanders, a freshman at Duluth’s Denfeld High School. ""If I have a chance not to catch COVID, then I would totally take that chance.""
https://t.co/XL9dbrEqiU https://t.co/SROIUXMp3r",2021-05-12 21:30:00,
Vahid Mokhtaripour,"Rhineland-Palatinate, Germany","The #COVID19 spread among nurses in #Iran has become a disaster. General Director of the Nurse’s House said back in April that at least 130 nurses in Iran died of the virus so far, adding nurses were being “massacred” in hospitals due to the vaccine delay.
https://t.co/LfTuvolhGo",2021-05-12 21:26:27,"covid19,iran"
Ministry of Health,Trinidad and Tobago,"Trinidad and Tobago COVID-19 (Novel Coronavirus) Update #722. Additional details related to the COVID-19 update are available on the Ministry of Health's website via https://t.co/uIDcmY5yu0.
     
  Visit https://t.co/4o0f75tT1l for more information on the COVID-19 Vaccine. https://t.co/yvp8Mt3CPU",2021-05-12 21:25:22,
Cunningham Center,"Columbus, Georgia",Interested in getting your COVID-19 Vaccine? 💉🩹 @GAdph is hosting Mobile Vaccination Clinics with @columbusstate starting TOMORROW at the Cunningham Center Lower Parking Lot. CLICK to Pre-Register: https://t.co/d6WsqKmrw6 #COVID19 #CovidVaccine https://t.co/hfB9AAmFBP,2021-05-12 21:25:06,"covid19,covidvaccine"
Iowa Capital Dispatch,Des Moines,"A federal advisory panel is recommending that Pfizer’s #COVID19 #vaccine be administered to adolescents between 12 and 15 years old, making it the first shot available to those under 16. https://t.co/YGxJ3WQpBt via @iowacapdispatch",2021-05-12 21:24:01,"covid19,vaccine"
YourTV Cornwall,"Cornwall, Ontario","1/6 - Given that currently, the provincial COVID-19 vaccine booking system only allows for booking first and second dose appointments at the same time... 

#COVID19 #TrulyLocal",2021-05-12 21:21:34,"covid19,trulylocal"
AFC Urgent Care Narberth,"Narberth, PA","AFC Urgent Care Narberth has a limited number of COVID-19 Vaccines available (Moderna) for those 18 years of age and older. Call 484-270-8600 to make an appointment at our urgent care center.

#COVID19 #COVID19Vaccine #Vaccine https://t.co/mRz0skvDhH",2021-05-12 21:20:37,"covid19,covid19vaccine,vaccine"
Elaine K. Howley,"Waltham, MA","My latest for @USNews. Vaccine hesitancy is real, and this is an important and timely topic a lot of us are grappling with these days. Here's how to talk with someone who's reluctant to get it. #vaccine #COVID19 #COVID19Vaccination  https://t.co/MCYjvd1l51",2021-05-12 21:20:14,"vaccine,covid19,covid19vaccination"
Gastroenterology Advisor,"New York, NY","Investigators did conclude that HCWs with previous COVID-19 (as diagnosed via laboratory-confirmed serology testing) had higher antibody titer responses, which could inform prioritizations of vaccines and potential single-dose vaccination strategy.

https://t.co/6FfCYY1YMz",2021-05-12 21:20:02,
LJP,,"Moderna announces 25 million doses of their COVID-19 vaccine for Australia https://t.co/OU8eDEDcnY #covid19 Why so many vaccines? Pfizer, AZ, and Moderna. Are people who have had AZ going to be revaccinated? @normanswan",2021-05-12 21:18:28,covid19
Don Curren,Toronto,"Opinion: If you got an #AstraZeneca #COVID19 vaccine, you made the right decision, according to #economics /via @globeandmail https://t.co/u4cijfhKrc",2021-05-12 21:18:23,"astrazeneca,covid19,economics"
CIDRAP,"Minneapolis, MN","CDC advisers green-light COVID vaccine in young teens

A trial of the Pfizer #COVID19 vaccine in 2,260 young teens found only 1 serious side effect, a fever higher than 104°F

https://t.co/4MbnMulVgf https://t.co/MjxWwpeDmc",2021-05-12 21:17:22,covid19
10 News First,Australia,"#BREAKING Moderna has announced a deal with Australia to provide 25m doses of their COVID-19 vaccine by 2022. 

In a statement that came without a joint announcement from the federal government, Moderna said 10m doses of their mRNA vaccine would be delivered this year. #COVID19 https://t.co/sGD4yLbT3x",2021-05-12 21:16:41,"breaking,covid19"
KRoshan,,"#India reports new Covid Cases - 362438, Deaths - 4129, Recovered - 351217, Tests - 20.5L, Positivity - 16.9%, Vaccinations - 17.7L #B1617 #LongCovid #B1618 #SecondcovidWave #vaccine #MaskUp #vaccinate  #COVIDisAirborne #doublemutant #covid19 #B1618 #N440K https://t.co/CsC6YM2N5Q",2021-05-12 21:15:10,"india,b1617,longcovid,b1618,secondcovidwave,vaccine,maskup,vaccinate,covidisairborne,doublemutant,covid19,b1618,n440k"
City of Toronto,Toronto ON Canada,"#COVID19 vaccine appointment update: as of the afternoon of May 12, the following appointments are available at the City’s nine clinics, tomorrow, May 13. Book your appointment now at https://t.co/9Unc5FtjZu. Check out who’s eligible to book: https://t.co/VZVNSY7kfo #MyCOVIDvax https://t.co/LlGsvxp8vF",2021-05-12 21:13:08,"covid19,mycovidvax"
